Acanella,Acanthogorgia,Anthomastus,Anthothela,Balticina,Bathypathes,Chrysogorgia,Clavularia,Desmophyllum,Distichoptilum,Funiculina,Javania,Keratoisis,Kophobelemnon,Lateothela,Lophelia,Paragorgia,Paramuricea,Parantipathes,Pennatula,Primnoa,Protoptilum,Radicipes,Solenosmilia,Stauropathes,Stichopathes,Swiftia,Telopathes,Thouarella,Umbellula
0,0,0.0250127616130679,5.1046452271567e-4,5.1046452271567e-4,0,0,0,0.00765696784073507,0,0,0.00459418070444104,5.1046452271567e-4,0,0,0,0,0.00204185809086269,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9600675474322e-4,0,0,0,3.9733783649548e-4,0,0,0,0,0,0,0,0,0
0,0,0,1.0413412475268e-4,0,0,0,0,0,0,0,0,0,0,0,0,2.0826824950536e-4,0,0,0,1.0413412475268e-4,0,0,0,0,0,0,0,0,0
3.4176349965823e-4,0.00136705399863295,0.00410116199589884,0,0.00102529049897471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00341763499658236,0,0,0,0,0,0,0,0
0.0050251256281407,0.00137048880767474,0.0114207400639561,0,0.00639561443581544,0,0,4.5682960255824e-4,4.5682960255824e-4,0.00228414801279123,4.5682960255824e-4,0,9.1365920511649e-4,0,0,0,0,9.1365920511649e-4,0,0.00137048880767474,0,9.1365920511649e-4,0.0109639104613979,0,0,0,0,0,0,0
0,0,0.002,0,0.002,0,0,0,0.002,0.004,0,0,0,0,0,0,0,0,0,0,0,0.006,0.004,0,0,0.002,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0633888663145e-4,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00259067357512953,0,0,0,0,0,0,0,0,0.0103626943005181,0,0,0,0,0,0,0,0,0,0,0,0.0155440414507772,0.0077720207253886,0,0,0,0,0,0,0
0,0.00151423379769836,0.0136281041792853,0,6.0569351907934e-4,6.0569351907934e-4,0,3.0284675953967e-4,0.00363416111447608,0,3.0284675953967e-4,0,0,3.0284675953967e-4,0,0,3.0284675953967e-4,0.00696547546941248,0,3.0284675953967e-4,0,0,0.00151423379769836,0,0,6.0569351907934e-4,0,0,0,0
9.765625e-4,0,9.765625e-4,0,0,0,0,0,9.765625e-4,9.765625e-4,0,0,0,0,0,0,0,0.0029296875,0,0,0,9.765625e-4,0,0,0,0,0,0,0,0.001953125
